dt_server,dt_tracker,lat,lng,altitude,angle,speed,params
"2022-02-27 02:51:20","2022-02-27 02:51:19",9.080365,7.481117,0,0,0,"{"alarm":"tracker","acc":"1"}"
"2022-02-27 02:53:21","2022-02-27 02:53:19",9.080365,7.481117,0,0,0,"{"alarm":"tracker","acc":"1"}"
"2022-02-27 02:55:21","2022-02-27 02:55:19",9.080365,7.481117,0,0,0,"{"alarm":"tracker","acc":"1"}"
"2022-02-27 02:57:21","2022-02-27 02:57:19",9.080365,7.481117,0,0,0,"{"alarm":"tracker","acc":"1"}"
"2022-02-27 02:59:21","2022-02-27 02:59:19",9.080365,7.481117,0,0,0,"{"alarm":"tracker","acc":"1"}"
"2022-02-27 03:01:21","2022-02-27 03:01:19",9.080365,7.481117,0,0,0,"{"alarm":"tracker","acc":"1"}"
"2022-02-27 03:03:21","2022-02-27 03:03:19",9.080365,7.481117,0,0,0,"{"alarm":"tracker","acc":"1"}"
"2022-02-27 03:05:21","2022-02-27 03:05:20",9.080365,7.481117,0,0,0,"{"alarm":"tracker","acc":"1"}"
"2022-02-27 03:07:21","2022-02-27 03:07:20",9.080365,7.481117,0,0,0,"{"alarm":"tracker","acc":"1"}"
"2022-02-27 03:09:21","2022-02-27 03:09:20",9.080365,7.481117,0,0,0,"{"alarm":"tracker","acc":"1"}"
"2022-02-27 03:11:21","2022-02-27 03:11:20",9.080365,7.481117,0,0,0,"{"alarm":"tracker","acc":"1"}"
"2022-02-27 03:13:21","2022-02-27 03:13:20",9.080365,7.481117,0,0,0,"{"alarm":"tracker","acc":"1"}"
"2022-02-27 03:15:21","2022-02-27 03:15:20",9.080365,7.481117,0,0,0,"{"alarm":"tracker","acc":"1"}"
"2022-02-27 03:17:21","2022-02-27 03:17:20",9.080365,7.481117,0,0,0,"{"alarm":"tracker","acc":"1"}"
"2022-02-27 03:19:21","2022-02-27 03:19:20",9.080365,7.481117,0,0,0,"{"alarm":"tracker","acc":"1"}"
"2022-02-27 03:21:21","2022-02-27 03:21:20",9.080365,7.481117,0,0,0,"{"alarm":"tracker","acc":"1"}"
"2022-02-27 03:23:21","2022-02-27 03:23:20",9.080365,7.481117,0,0,0,"{"alarm":"tracker","acc":"1"}"
"2022-02-27 03:25:21","2022-02-27 03:25:20",9.080365,7.481117,0,0,0,"{"alarm":"tracker","acc":"1"}"
"2022-02-27 03:27:21","2022-02-27 03:27:20",9.080365,7.481117,0,0,0,"{"alarm":"tracker","acc":"1"}"
"2022-02-27 03:29:21","2022-02-27 03:29:20",9.080365,7.481117,0,0,0,"{"alarm":"tracker","acc":"1"}"
"2022-02-27 03:31:22","2022-02-27 03:31:20",9.080365,7.481117,0,0,0,"{"alarm":"tracker","acc":"1"}"
"2022-02-27 03:33:22","2022-02-27 03:33:20",9.080365,7.481117,0,0,0,"{"alarm":"tracker","acc":"1"}"
"2022-02-27 03:37:21","2022-02-27 03:37:20",9.080365,7.481117,0,0,0,"{"alarm":"tracker","acc":"1"}"
"2022-02-27 03:39:21","2022-02-27 03:39:20",9.080365,7.481117,0,0,0,"{"alarm":"tracker","acc":"1"}"
"2022-02-27 03:41:21","2022-02-27 03:41:20",9.080365,7.481117,0,0,0,"{"alarm":"tracker","acc":"1"}"
"2022-02-27 03:43:21","2022-02-27 03:43:20",9.080365,7.481117,0,0,0,"{"alarm":"tracker","acc":"1"}"
"2022-02-27 03:45:21","2022-02-27 03:45:20",9.080365,7.481117,0,0,0,"{"alarm":"tracker","acc":"1"}"
"2022-02-27 03:47:21","2022-02-27 03:47:20",9.080365,7.481117,0,0,0,"{"alarm":"tracker","acc":"1"}"
"2022-02-27 03:49:21","2022-02-27 03:49:20",9.080365,7.481117,0,0,0,"{"alarm":"tracker","acc":"1"}"
"2022-02-27 03:51:21","2022-02-27 03:51:20",9.080365,7.481117,0,0,0,"{"alarm":"tracker","acc":"1"}"
"2022-02-27 03:53:22","2022-02-27 03:53:20",9.080365,7.481117,0,0,0,"{"alarm":"tracker","acc":"1"}"
"2022-02-27 03:59:32","2022-02-27 03:59:30",9.080365,7.481117,0,0,0,"{"alarm":"tracker","acc":"1"}"
"2022-02-27 04:01:32","2022-02-27 04:01:30",9.080365,7.481117,0,0,0,"{"alarm":"tracker","acc":"1"}"
